MINE CODE;MINE NAME;MINE OWNER;POSTAL ADDRESS;TELEPHONE & FAX NUMBER;MAGISTERIAL DISTRICT;PROVINCE;ENTITY & MINING TYPE;COMMODITY;FARM NAMES;;;
14868;AF DELWERYE CC                                                                ; AF ROBBERTS                                                                  ; PO BOX 82 WINDSORTON   8510                                                                                                                                            ;(053) 551 0089       (053) 551 0089 ;BARKLY WEST;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;WINDSORTON 250                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;;;
14315;AFRICAN DIAMOND RESOURCES MINING & EXPLORATION                                ; AFRICAN DIAMOND RESOURCES MINING & EXPLORATION                               ; PO BOX 131 SCHWEIZER RENEKE   2780                                                                                                                                     ;(053) 050 0306       (053) 050 0330 ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"KAMEELKUIL 88 HO PTN 7; KROMPAN 85 HO PTNS 10&11; VAALPOORT 84 HO PTN 6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ";;;
15697;AJ KOTZEE MINING                                                              ; MULDER MINING INVESTMENTS (PTY) LTD                                          ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;BARKLY WEST;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;FARM 293  2 RE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;;;
15625;AJL DIAMONDS                                                                  ; AMADWALA TRADING 399 CC                                                      ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"NOOITGEDACHT 144 HO; ZOETFONTEIN 168 HO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ";;;
14740;ALBETROS INLAND DIAM - NAMAKWA DIAMON                                         ; ALBETROS INLAND DIAMOND EXPL (PTY) LTD                                       ; PO BOX 1086 SCHWEIZER-RENEKE   2780                                                                                                                                    ;(053) 963 1081       (053) 963 1081 ;NAMAKWALAND;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"JOUMAT 178; PREDIKANTVLEI 190; ROODEVLEY 189                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";;;
10614;ALEXKOR LTD                                                                   ; ALEXKOR LTD                                                                  ; PRIVATE BAG X5 ALEXANDER BAY   8290                                                                                                                                    ;(027) 831 8300       (027) 831 1910 ;NAMAKWALAND;NORTHERN CAPE;"MINE                                                    AT SEA; OPENCAST; SURFACE                                                                                                                             ";"DIAMONDS ALLUVIAL; DIAMONDS MARINE                                                                                                                                                                                                                                                                                                                                                                                                                                ";"SEE CONCESSION 1 C; SEE CONCESSION 1 B; SEE CONCESSION 2 A; SEE CONCESSION 4 A; SEE CONCESSION 4 B; ALEXANDER BAY 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ";;;
13688;ALFA MHK DIAMANTE                                                             ; NICOLAAS STEFANUS SMITH                                                      ; PO BOX 342 BARKLY WES   8375                                                                                                                                           ;(053) 531 0140       (053) 531 0140 ;KIMBERLEY;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"DUIKERSPUT PTN 0; ANNASHOOP PTN 7 OF PTN 3; ZANDHEUWEL 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ";;;
15577;ALS MINING                                                                    ; GF DIAMOND MINING                                                            ; 57 KENILWORTH KIMBERLEY   8301                                                                                                                                         ;082 429 2309                        ;PRIESKA;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;"FOLMINK 331  2 4 6 & 7; KLOOF FONTEIN 332  RE 1 2 & 4; FARM 597; MIDDLE WATER 18  RE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ";;;
15485;AM DIAMOND MINING (PTY) LTD - NORTH                                           ; AM DIAMOND MINING (PTY) LTD                                                  ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;KIMBERLEY;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;MIDDELPLAATS NORTH 103  1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;;;
15484;AM DIAMOND MNING (PTY) LTD - SOUTH                                            ; AM DIAMOND MNING (PTY) LTD                                                   ; PO BOX 1086 SCHWEIZER RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;KIMBERLEY;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;MIDDELPLAATS SOUTH 104                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;;;
15051;AMBER CASCADES TRADING 3 CC                                                   ; NAMAKWA DIAMONDS HOLDINGS (PTY) LTD                                          ; PO BOX 1086 SCHWEIZER-RENEKE   2780                                                                                                                                    ;(053) 963 1081       087 231 7021   ;SCHWEIZER - RENEKE;NORTH-WEST;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;KAMEELKUIL 88 HO 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;;;
14362;AMOS JACOB DAVIDS                                                             ; AMOS JACOB DAVIDS                                                            ; PO BOX 82 WINDSORTON   8510                                                                                                                                            ;(053) 551 0089       (053) 551 0089 ;BARKLY WEST;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;WINDSORTON ERF 1  PTN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
13884;ANDREAS ADAMS                                                                 ; ANDREAS ADAMS                                                                ; PO BOX 509 KAKAMAS   8870                                                                                                                                              ;(054) 431 0945       (054) 431 0506 ;GORDONIA;NORTHERN CAPE;"MINE                                                    OPENCAST; SURFACE                                                                                                                                     ";DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;RIEMVASMAAK 498                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;;;
13773;ANDRIES MYBURGH                                                               ;ANDRIES MYBURGH                                                               ; 2 SPITSKOP ROAD DEBEERSHOOGTE BARKLEY WEST  8375                                                                                                                       ;072 268 3558                        ;BARKLY WEST;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;WALDECK'S PLANT 281                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;;;
14531;ANNA MARIA TSHIPI                                                             ; ANNA MARIA TSHIPI                                                            ; 47 MOJANAGA STREET VERGENOEG KIMBERLEY  8301                                                                                                                           ;072 800 4395                        ;BARKLY WEST;NORTHERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;DIAMONDS ALLUVIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;LONGLANDS 350                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;;;
